"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","label"
"1383","5rwq6R0Uq0BngM3rdmCeNg",0.582,0.253,10,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,90.184,277000,0
"1384","7L605WhF5EGf34ggj87yK6",0.461,0.446,7,-7.703,1,0.0267,0.1,0,0.169,0.375,139.868,195493,0
"1385","1T7AiFL9ruKKwlONN35Vh0",0.553,0.507,11,-6.24,1,0.0304,0.473,0,0.108,0.57,83.093,187027,0
"1386","5f6cTFoUenDiCJDGecYiuB",0.534,0.708,11,-5.732,1,0.0402,0.089,0,0.192,0.488,130.639,286480,0
"1387","5uCax9HTNlzGybIStD3vDh",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,0
"1388","6TIU9Ehmi6dMzZK73Ym4yj",0.552,0.29,10,-5.617,1,0.0448,0.85,0,0.227,0.481,78.842,247107,0
"1389","3f3omU8n47Mqyab5nCaGyT",0.583,0.584,5,-5.362,0,0.0314,0.254,0,0.123,0.136,140.039,219493,0
"1390","5m3MMqREtffhno6KLdpnDI",0.534,0.575,1,-6.706,1,0.0519,0.0546,0,0.131,0.205,86.961,222920,0
"1391","13xxBnXOuiBxVxJI458B0i",0.588,0.391,0,-8.607,0,0.0334,0.839,0,0.227,0.349,144.069,226973,0
"1392","21JTgoZLDB2F4Fx0uRCmTL",0.237,0.269,7,-9.61,0,0.0298,0.573,0.000283,0.101,0.0681,81.256,233480,0
"1393","6M6lsQB4OhqL41eld29PeC",0.473,0.843,10,-4.386,1,0.15,0.317,0,0.0567,0.478,166.385,296227,0
"1394","6DtrhlvAAd9BO0ldzVbJzP",0.549,0.313,7,-7.803,1,0.0294,0.809,0,0.104,0.337,97.77,137449,0
"1395","3ZbP8gBRi7jC3y4dX87s3P",0.377,0.37,1,-5.987,1,0.0394,0.828,0,0.122,0.213,78.892,188221,0
"1396","7gdwoOmi258QJq0hmQ4hto",0.471,0.47,6,-6.626,1,0.0297,0.372,1.83e-06,0.333,0.451,79.539,243933,0
"1397","6wn61Fzx9XMxQmieLpoIhW",0.578,0.34,0,-8.027,1,0.0264,0.305,0,0.104,0.223,92.702,234427,0
"1398","23FTSzTT8QxmOQoRFQQCRN",0.498,0.124,0,-12.003,1,0.0322,0.945,0,0.104,0.0508,106.767,182200,0
"1399","58Mmq9tDlN7jiUqmvugggD",0.274,0.808,7,-2.678,1,0.0346,0.0382,0,0.198,0.131,161.104,239453,0
"1400","7rGMKCgeYXpBecQ1FPb3oc",0.606,0.612,2,-3.676,1,0.028,0.211,3.7e-06,0.128,0.477,127.882,208135,0
"1401","2hKdd3qO7cWr2Jo0Bcs0MA",0.468,0.64,0,-5.862,1,0.0275,0.154,0,0.154,0.499,79.297,259933,0
"1402","5fc6rQgAKiLutfUYWQ6QnJ",0.409,0.413,4,-6.722,1,0.0296,0.461,0,0.0765,0.13,137.02,252320,0
"1403","4IoYz8XqqdowINzfRrFnhi",0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,241853,0
